Effective date,Dow Jones Sukuk Total Return Index (ex-Reinvestment)
2014-02-28 00:00:00,146.75
2014-03-03 00:00:00,146.76
2014-03-04 00:00:00,146.79
2014-03-05 00:00:00,146.63
2014-03-06 00:00:00,146.49
2014-03-07 00:00:00,146.42
2014-03-10 00:00:00,146.32
2014-03-11 00:00:00,146.33
2014-03-12 00:00:00,146.36
2014-03-13 00:00:00,146.46
2014-03-14 00:00:00,146.42
2014-03-17 00:00:00,146.62
2014-03-18 00:00:00,146.73
2014-03-19 00:00:00,146.86
2014-03-20 00:00:00,146.62
2014-03-21 00:00:00,146.62
2014-03-24 00:00:00,146.66
2014-03-25 00:00:00,146.72
2014-03-26 00:00:00,146.84
2014-03-27 00:00:00,146.96
2014-03-28 00:00:00,147.04
2014-03-31 00:00:00,147.12
2014-04-01 00:00:00,147.1
2014-04-02 00:00:00,147.01
2014-04-03 00:00:00,146.81
2014-04-04 00:00:00,146.87
2014-04-07 00:00:00,147.09
2014-04-08 00:00:00,147.19
2014-04-09 00:00:00,147.2
2014-04-10 00:00:00,147.35
2014-04-11 00:00:00,147.32
2014-04-14 00:00:00,147.32
2014-04-15 00:00:00,147.25
2014-04-16 00:00:00,147.29
2014-04-17 00:00:00,147.35
2014-04-18 00:00:00,147.36
2014-04-21 00:00:00,147.38
2014-04-22 00:00:00,147.43
2014-04-23 00:00:00,147.45
2014-04-24 00:00:00,147.51
2014-04-25 00:00:00,147.54
2014-04-28 00:00:00,147.6
2014-04-29 00:00:00,147.66
2014-04-30 00:00:00,147.71
2014-05-01 00:00:00,147.84
2014-05-02 00:00:00,147.88
2014-05-05 00:00:00,147.99
2014-05-06 00:00:00,148.12
2014-05-07 00:00:00,148.38
2014-05-08 00:00:00,148.56
2014-05-09 00:00:00,148.6
2014-05-12 00:00:00,148.61
2014-05-13 00:00:00,148.61
2014-05-14 00:00:00,148.83
2014-05-15 00:00:00,148.91
2014-05-16 00:00:00,148.94
2014-05-19 00:00:00,149.07
2014-05-20 00:00:00,149.02
2014-05-21 00:00:00,149.16
2014-05-22 00:00:00,149.17
