Effective date,S&P MENA Bond and Sukuk Index
2014-02-28 00:00:00,104.8
2014-03-03 00:00:00,104.76
2014-03-04 00:00:00,104.78
2014-03-05 00:00:00,104.51
2014-03-06 00:00:00,104.43
2014-03-07 00:00:00,104.33
2014-03-10 00:00:00,104.27
2014-03-11 00:00:00,104.26
2014-03-12 00:00:00,104.22
2014-03-13 00:00:00,104.22
2014-03-14 00:00:00,104.22
2014-03-17 00:00:00,104.35
2014-03-18 00:00:00,104.47
2014-03-19 00:00:00,104.65
2014-03-20 00:00:00,104.47
2014-03-21 00:00:00,104.49
2014-03-24 00:00:00,104.55
2014-03-25 00:00:00,104.62
2014-03-26 00:00:00,104.71
2014-03-27 00:00:00,104.85
2014-03-28 00:00:00,104.94
2014-03-31 00:00:00,104.95
2014-04-01 00:00:00,104.96
2014-04-02 00:00:00,104.93
2014-04-03 00:00:00,104.85
2014-04-04 00:00:00,104.88
2014-04-07 00:00:00,104.99
2014-04-08 00:00:00,105.08
2014-04-09 00:00:00,105.06
2014-04-10 00:00:00,105.18
2014-04-11 00:00:00,105.16
2014-04-14 00:00:00,105.17
2014-04-15 00:00:00,105.11
2014-04-16 00:00:00,105.15
2014-04-17 00:00:00,105.2
2014-04-18 00:00:00,105.21
2014-04-21 00:00:00,105.25
2014-04-22 00:00:00,105.25
2014-04-23 00:00:00,105.29
2014-04-24 00:00:00,105.34
2014-04-25 00:00:00,105.36
2014-04-28 00:00:00,105.4
2014-04-29 00:00:00,105.45
2014-04-30 00:00:00,105.46
2014-05-01 00:00:00,105.55
2014-05-02 00:00:00,105.66
2014-05-05 00:00:00,105.69
2014-05-06 00:00:00,105.78
2014-05-07 00:00:00,105.95
2014-05-08 00:00:00,106.12
2014-05-09 00:00:00,106.22
2014-05-12 00:00:00,106.24
2014-05-13 00:00:00,106.22
2014-05-14 00:00:00,106.34
2014-05-15 00:00:00,106.58
2014-05-16 00:00:00,106.58
2014-05-19 00:00:00,106.66
2014-05-20 00:00:00,106.67
2014-05-21 00:00:00,106.74
2014-05-22 00:00:00,106.78
2014-05-23 00:00:00,106.83
2014-05-26 00:00:00,106.87
2014-05-27 00:00:00,106.91
2014-05-28 00:00:00,107.11
2014-05-29 00:00:00,107.24
