Effective date,S&P MENA Sukuk Index
2014-02-28 00:00:00,103.75
2014-03-03 00:00:00,103.79
2014-03-04 00:00:00,103.8
2014-03-05 00:00:00,103.65
2014-03-06 00:00:00,103.52
2014-03-07 00:00:00,103.49
2014-03-10 00:00:00,103.4
2014-03-11 00:00:00,103.41
2014-03-12 00:00:00,103.45
2014-03-13 00:00:00,103.48
2014-03-14 00:00:00,103.46
2014-03-17 00:00:00,103.57
2014-03-18 00:00:00,103.64
2014-03-19 00:00:00,103.78
2014-03-20 00:00:00,103.68
2014-03-21 00:00:00,103.66
2014-03-24 00:00:00,103.72
2014-03-25 00:00:00,103.75
2014-03-26 00:00:00,103.82
2014-03-27 00:00:00,103.91
2014-03-28 00:00:00,103.95
2014-03-31 00:00:00,103.96
2014-04-01 00:00:00,103.95
2014-04-02 00:00:00,103.89
2014-04-03 00:00:00,103.79
2014-04-04 00:00:00,103.81
2014-04-07 00:00:00,103.95
2014-04-08 00:00:00,103.99
2014-04-09 00:00:00,103.98
2014-04-10 00:00:00,104.05
2014-04-11 00:00:00,104.01
2014-04-14 00:00:00,104.03
2014-04-15 00:00:00,103.98
2014-04-16 00:00:00,104.02
2014-04-17 00:00:00,104.1
2014-04-18 00:00:00,104.1
2014-04-21 00:00:00,104.13
2014-04-22 00:00:00,104.16
2014-04-23 00:00:00,104.18
2014-04-24 00:00:00,104.21
2014-04-25 00:00:00,104.21
2014-04-28 00:00:00,104.24
2014-04-29 00:00:00,104.29
2014-04-30 00:00:00,104.29
2014-05-01 00:00:00,104.36
2014-05-02 00:00:00,104.41
2014-05-05 00:00:00,104.44
2014-05-06 00:00:00,104.52
2014-05-07 00:00:00,104.72
2014-05-08 00:00:00,104.8
2014-05-09 00:00:00,104.86
2014-05-12 00:00:00,104.86
2014-05-13 00:00:00,104.86
2014-05-14 00:00:00,104.97
2014-05-15 00:00:00,105.05
2014-05-16 00:00:00,105.07
2014-05-19 00:00:00,105.18
2014-05-20 00:00:00,105.17
2014-05-21 00:00:00,105.23
2014-05-22 00:00:00,105.25
2014-05-23 00:00:00,105.29
2014-05-26 00:00:00,105.32
2014-05-27 00:00:00,105.37
2014-05-28 00:00:00,105.5
2014-05-29 00:00:00,105.58
2014-05-30 00:00:00,105.59
2014-06-02 00:00:00,105.58
